model,primary_failed_part,mileage,age,date,claims_count
Leaf,Battery Cable,41874.4,3.77,2025-01-30,0
Leaf,Battery Cable,40450.6,4.51,2025-06-24,0
Leaf,Battery Cable,43494.2,4.3,2025-05-18,1
Leaf,Battery Cable,41429.0,4.4,2025-03-10,0
Leaf,Battery Cable,40876.2,3.88,2025-06-14,1
Leaf,Battery Cable,41446.6,4.32,2025-03-29,1
Leaf,Battery Cable,43786.8,3.93,2025-01-29,1
Leaf,Battery Cable,41204.7,4.21,2025-03-17,0
Leaf,Battery Cable,39176.6,4.33,2025-04-22,1
Leaf,Battery Cable,43008.8,4.17,2025-02-10,0
Leaf,Battery Cable,45719.7,4.16,2025-04-27,0
Leaf,Battery Cable,40533.5,4.13,2025-01-01,1
Leaf,Battery Cable,39769.0,4.11,2025-03-09,0
Leaf,Battery Cable,38486.7,4.19,2025-05-09,0
Leaf,Battery Cable,41578.6,3.75,2025-02-15,1
Leaf,Battery Cable,41248.2,4.24,2025-05-10,0
Leaf,Battery Cable,42526.2,4.48,2025-01-28,1
Leaf,Battery Cable,43224.3,4.1,2025-06-10,1
Leaf,Battery Cable,39932.9,4.35,2025-03-18,1
Leaf,Battery Cable,40325.0,3.97,2025-06-13,0
Leaf,Battery Cable,46381.0,4.16,2025-05-10,0
Leaf,Battery Cable,40160.7,3.77,2025-06-05,1
Leaf,Battery Cable,43224.4,4.02,2025-02-20,0
Leaf,Battery Cable,41518.8,4.43,2025-02-09,1
Leaf,Battery Cable,39444.0,4.25,2025-04-06,1
Leaf,Battery Cable,44618.3,3.71,2025-02-11,1
Leaf,Battery Cable,39779.3,4.04,2025-05-19,0
Leaf,Battery Cable,41072.1,4.22,2025-05-16,0
Leaf,Battery Cable,39259.5,4.09,2025-01-01,1
Leaf,Battery Cable,39856.6,4.16,2025-06-03,0
Leaf,Battery Cable,41911.9,4.42,2025-03-24,0
Ariya,HV Battery,49682.0,6.32,2025-03-20,0
Ariya,HV Battery,48376.7,6.58,2025-03-03,0
Ariya,HV Battery,45993.5,6.87,2025-01-15,0
Ariya,HV Battery,43519.2,6.78,2025-03-03,0
Ariya,HV Battery,46491.2,6.81,2025-05-26,1
Ariya,HV Battery,46774.1,7.47,2025-01-21,1
Ariya,HV Battery,44637.3,6.47,2025-01-22,0
Ariya,HV Battery,44670.9,6.47,2025-05-05,1
Ariya,HV Battery,44638.1,7.05,2025-01-18,1
Ariya,HV Battery,49382.3,6.46,2025-05-17,0
Ariya,HV Battery,44188.6,6.81,2025-02-02,0
Ariya,HV Battery,44834.4,6.86,2025-02-02,0
Ariya,HV Battery,46575.3,6.15,2025-06-18,0
Ariya,HV Battery,49675.1,7.25,2025-05-02,0
Ariya,HV Battery,44694.8,6.52,2025-05-21,0
Ariya,HV Battery,46766.5,6.76,2025-02-12,0
Ariya,HV Battery,47625.7,7.32,2025-03-09,0
Ariya,HV Battery,45699.6,6.38,2025-05-16,1
Ariya,HV Battery,42927.7,6.41,2025-06-05,0
Ariya,HV Battery,46031.1,7.25,2025-04-19,1
Ariya,HV Battery,44914.2,6.72,2025-02-24,0
Ariya,HV Battery,46069.6,7.05,2025-05-19,1
Ariya,HV Battery,51933.0,6.47,2025-06-26,0
Ariya,HV Battery,44979.2,7.0,2025-02-21,0
Ariya,HV Battery,47679.5,7.26,2025-03-21,1
Ariya,HV Battery,47453.7,6.53,2025-04-13,1
Ariya,HV Battery,47469.2,7.02,2025-06-21,1
Ariya,HV Battery,47999.0,6.82,2025-06-16,0
Ariya,HV Battery,48566.6,7.04,2025-04-06,0
Ariya,HV Battery,49293.9,6.87,2025-04-23,1
Ariya,HV Battery,45722.2,6.7,2025-05-13,1
Ariya,HV Battery,48889.0,6.38,2025-04-26,1
Ariya,HV Battery,46957.4,6.52,2025-01-31,1
Ariya,HV Battery,46173.8,7.08,2025-03-05,0
Ariya,HV Battery,46548.1,6.67,2025-02-27,1
Ariya,HV Battery,42972.5,6.9,2025-01-17,0
Ariya,HV Battery,47595.6,7.37,2025-03-28,0
Ariya,HV Battery,45398.0,6.72,2025-01-06,0
Ariya,HV Battery,46682.4,7.17,2025-05-31,0
Ariya,HV Battery,45887.8,6.74,2025-05-22,0
Ariya,HV Battery,47508.9,6.71,2025-02-28,0
Ariya,HV Battery,45078.3,6.71,2025-05-31,1
Ariya,HV Battery,48582.6,6.31,2025-02-26,0
Ariya,HV Battery,46414.0,6.42,2025-01-02,1
Ariya,HV Battery,48862.5,6.14,2025-01-19,0
Ariya,HV Battery,44819.0,6.78,2025-06-11,0
Ariya,HV Battery,49716.6,6.63,2025-01-16,1
Ariya,HV Battery,44827.6,7.28,2025-02-28,0
Ariya,HV Battery,42769.3,5.92,2025-01-18,0
Ariya,HV Battery,47121.9,6.48,2025-01-09,0
Ariya,HV Battery,43753.2,6.89,2025-03-26,0
Ariya,HV Battery,46669.6,6.46,2025-01-19,1
Ariya,HV Battery,43155.9,6.94,2025-05-12,0
Ariya,HV Battery,47606.5,6.62,2025-03-02,1
Ariya,HV Battery,50364.7,6.29,2025-03-13,0
Ariya,HV Battery,42590.6,6.42,2025-06-21,1
Ariya,HV Battery,46002.4,6.73,2025-05-05,1
Ariya,HV Battery,45551.4,6.77,2025-02-24,1
Ariya,HV Battery,43222.2,7.13,2025-05-19,0
Ariya,HV Battery,45918.1,7.02,2025-02-03,0
Ariya,HV Battery,46897.6,6.8,2025-05-27,0
Ariya,HV Battery,47421.0,6.8,2025-05-28,1
Ariya,HV Battery,47589.2,7.09,2025-05-02,1
Ariya,HV Battery,46560.6,6.89,2025-03-04,1
Ariya,HV Battery,45900.6,7.13,2025-05-02,0
Ariya,HV Battery,44548.2,7.25,2025-04-15,1
Ariya,HV Battery,46014.9,6.17,2025-02-18,1
Ariya,HV Battery,46402.8,6.42,2025-01-25,0
Ariya,HV Battery,48045.5,6.43,2025-01-25,0
Ariya,HV Battery,45078.9,6.02,2025-06-18,1
Ariya,HV Battery,45064.8,5.84,2025-04-21,1
Ariya,HV Battery,42456.0,6.9,2025-04-01,1
Ariya,HV Battery,47919.1,6.79,2025-04-19,0
Ariya,HV Battery,43878.3,6.63,2025-04-16,1
Ariya,HV Battery,46099.2,6.26,2025-04-30,0
Ariya,HV Battery,49573.4,6.94,2025-01-14,0
Ariya,HV Battery,45598.1,6.66,2025-06-22,0
Ariya,HV Battery,46587.9,5.97,2025-06-17,1
Ariya,HV Battery,45537.7,6.42,2025-06-15,1
Ariya,HV Battery,43798.4,6.56,2025-01-26,1
Ariya,HV Battery,50251.8,6.86,2025-01-16,0
Ariya,HV Battery,44790.7,6.84,2025-04-14,1
Ariya,HV Battery,49333.5,6.96,2025-03-28,0
Ariya,HV Battery,46245.0,6.43,2025-01-28,1
Ariya,HV Battery,47717.2,6.78,2025-03-05,0
Ariya,HV Battery,48171.3,6.86,2025-02-19,0
Ariya,HV Battery,48527.1,6.47,2025-02-18,0
Ariya,HV Battery,49144.6,6.72,2025-05-18,0
Ariya,HV Battery,50891.8,6.42,2025-04-25,1
Ariya,HV Battery,50109.5,6.72,2025-02-05,0
Ariya,HV Battery,44605.7,6.49,2025-04-19,0
Ariya,HV Battery,45369.0,6.79,2025-02-16,1
Ariya,HV Battery,47312.8,6.46,2025-03-13,0
Ariya,HV Battery,46051.4,7.36,2025-04-29,1
Ariya,HV Battery,50090.1,6.8,2025-03-05,1
Ariya,HV Battery,46195.1,6.69,2025-01-20,1
Ariya,HV Battery,47521.9,6.31,2025-04-24,0
Ariya,HV Battery,45514.2,6.1,2025-05-21,1
Ariya,HV Battery,47027.9,6.87,2025-01-26,1
Ariya,HV Battery,44993.6,7.17,2025-01-13,0
Ariya,HV Battery,43281.7,6.16,2025-06-16,0
Ariya,HV Battery,46624.9,7.0,2025-05-19,1
Ariya,HV Battery,49989.6,6.5,2025-01-04,1
Ariya,HV Battery,48594.3,6.64,2025-01-24,1
Ariya,HV Battery,45709.5,6.94,2025-03-02,1
Ariya,HV Battery,47611.3,6.13,2025-02-12,1
Ariya,HV Battery,49511.5,7.11,2025-04-15,0
Ariya,HV Battery,44665.3,6.78,2025-05-05,0
Ariya,HV Battery,47246.4,6.74,2025-05-04,0
Ariya,HV Battery,44838.8,6.43,2025-02-24,1
Ariya,HV Battery,46048.6,7.04,2025-04-13,0
Ariya,HV Battery,47360.7,6.53,2025-01-16,1
Ariya,HV Battery,47886.6,5.7,2025-02-12,1
Ariya,HV Battery,48755.8,6.07,2025-04-08,1
Ariya,HV Battery,45271.9,6.28,2025-01-01,0
Ariya,HV Battery,43122.8,7.04,2025-04-10,1
Ariya,HV Battery,45029.3,6.77,2025-03-09,0
Ariya,HV Battery,45999.3,6.81,2025-04-27,1
Ariya,HV Battery,46284.6,6.22,2025-03-15,0
Ariya,HV Battery,48404.3,6.49,2025-04-19,0
Ariya,HV Battery,42519.0,6.51,2025-06-28,1
Ariya,HV Battery,49567.3,6.93,2025-05-23,0
Ariya,HV Battery,45303.7,6.53,2025-06-19,0
Ariya,HV Battery,45366.0,7.34,2025-05-05,1
Ariya,HV Battery,46988.0,6.79,2025-02-09,1
Ariya,HV Battery,48482.7,6.73,2025-02-18,1
Ariya,HV Battery,45510.3,6.58,2025-03-17,1
Ariya,HV Battery,45942.4,6.64,2025-02-25,1
Ariya,HV Battery,47785.0,6.67,2025-01-15,0
Ariya,HV Battery,47796.5,6.62,2025-05-29,0
Ariya,HV Battery,46288.8,5.99,2025-05-19,0
Ariya,HV Battery,48220.0,6.77,2025-01-16,1
Ariya,HV Battery,48408.3,5.69,2025-03-22,1
Ariya,HV Battery,50922.0,6.6,2025-01-15,0
Ariya,HV Battery,48662.3,6.3,2025-01-13,0
Ariya,HV Battery,47520.2,6.3,2025-05-30,1
Ariya,HV Battery,44669.5,7.29,2025-05-03,0
Ariya,HV Battery,45667.9,6.72,2025-05-09,1
Ariya,HV Battery,48113.3,6.81,2025-05-16,0
Ariya,HV Battery,46454.3,6.77,2025-02-10,1
Ariya,HV Battery,51648.3,6.63,2025-01-15,0
Ariya,HV Battery,46571.1,7.0,2025-05-11,1
Ariya,HV Battery,48656.2,7.04,2025-01-21,1
Ariya,HV Battery,47580.0,6.27,2025-02-17,1
Ariya,HV Battery,49873.2,6.27,2025-01-18,1
Ariya,HV Battery,46805.2,6.4,2025-06-02,1
Ariya,HV Battery,45959.6,6.76,2025-01-18,1
Ariya,HV Battery,46848.3,6.79,2025-06-22,0
Ariya,HV Battery,49827.7,6.8,2025-03-02,1
Ariya,HV Battery,45544.6,6.97,2025-04-14,1
Ariya,HV Battery,48849.7,6.24,2025-01-31,0
Ariya,HV Battery,47484.7,6.88,2025-05-26,1
Ariya,HV Battery,45421.5,7.11,2025-03-05,1
Ariya,HV Battery,45761.6,6.69,2025-05-29,1
Ariya,HV Battery,45708.5,6.66,2025-06-02,0
Ariya,HV Battery,43580.2,6.17,2025-01-11,0
Ariya,HV Battery,49783.4,6.37,2025-06-08,1
Ariya,HV Battery,43822.0,5.93,2025-01-21,1
Ariya,HV Battery,44634.5,6.21,2025-04-18,0
Ariya,HV Battery,49893.0,6.99,2025-06-18,1
Ariya,HV Battery,44521.1,7.4,2025-05-30,1
Ariya,HV Battery,48370.8,6.54,2025-05-25,1
Ariya,HV Battery,40345.4,7.41,2025-05-14,1
Ariya,HV Battery,42904.0,6.1,2025-03-22,0
Ariya,HV Battery,48464.9,7.46,2025-03-08,0
Ariya,HV Battery,49298.8,6.84,2025-02-22,0
Ariya,HV Battery,47478.6,6.93,2025-06-21,1
Ariya,HV Battery,47857.1,6.74,2025-03-22,0
Ariya,HV Battery,46347.7,6.63,2025-03-03,0
Ariya,HV Battery,44369.3,6.56,2025-03-09,0
Ariya,HV Battery,42204.6,6.62,2025-04-12,1
Ariya,HV Battery,43828.4,6.28,2025-02-03,1
Ariya,HV Battery,46522.2,7.11,2025-06-21,0
Ariya,HV Battery,48224.6,6.13,2025-06-15,0
Ariya,HV Battery,43826.0,6.96,2025-03-18,1
Ariya,HV Battery,43842.5,6.58,2025-04-28,0
Ariya,HV Battery,47375.6,6.33,2025-03-22,0
Ariya,HV Battery,46350.4,6.21,2025-01-19,0
Ariya,HV Battery,44721.1,6.76,2025-01-03,0
Ariya,HV Battery,42435.1,6.8,2025-04-28,0
Ariya,HV Battery,46062.2,6.83,2025-06-09,0
Ariya,HV Battery,46623.7,7.1,2025-05-25,0
Ariya,HV Battery,46396.2,6.51,2025-01-26,1
Ariya,HV Battery,46389.4,6.83,2025-01-19,0
Ariya,HV Battery,46220.1,6.66,2025-05-18,1
Ariya,HV Battery,44489.1,6.43,2025-02-24,1
Ariya,HV Battery,42874.0,7.23,2025-05-10,0
Ariya,HV Battery,43239.9,6.42,2025-03-09,1
Ariya,HV Battery,44451.3,6.95,2025-02-03,0
Ariya,HV Battery,45427.5,7.06,2025-03-31,1
Ariya,HV Battery,44554.9,6.74,2025-01-18,0
Ariya,HV Battery,44181.7,7.36,2025-03-04,0
Ariya,HV Battery,43369.6,6.75,2025-04-05,0
Ariya,HV Battery,47568.6,6.79,2025-03-14,1
Ariya,HV Battery,45680.3,6.61,2025-02-10,0
Ariya,HV Battery,46208.5,6.6,2025-04-23,1
Ariya,HV Battery,48329.6,7.38,2025-05-20,0
Ariya,HV Battery,44822.3,6.19,2025-06-30,1
Ariya,HV Battery,45904.0,7.51,2025-03-19,0
Ariya,HV Battery,44254.7,7.2,2025-06-06,1
Ariya,HV Battery,49975.2,6.47,2025-06-17,0
Ariya,HV Battery,47419.2,7.19,2025-05-16,0
Ariya,HV Battery,45233.5,6.58,2025-01-03,0
Ariya,HV Battery,44766.5,6.31,2025-06-20,0
Ariya,HV Battery,44610.7,6.24,2025-05-22,1
Ariya,HV Battery,46186.1,6.39,2025-03-18,0
Ariya,HV Battery,46646.5,6.13,2025-06-19,1
Ariya,HV Battery,46870.3,6.93,2025-01-27,0
Ariya,HV Battery,41511.2,6.77,2025-02-04,1
Ariya,HV Battery,48937.7,6.25,2025-03-09,0
Ariya,HV Battery,49963.4,6.79,2025-01-30,0
Ariya,HV Battery,44482.2,6.63,2025-01-28,1
Ariya,HV Battery,47394.7,6.68,2025-05-22,0
Ariya,HV Battery,47349.5,6.34,2025-02-09,0
Ariya,HV Battery,46497.9,6.18,2025-03-11,1
Ariya,HV Battery,45851.1,6.35,2025-03-14,1
Ariya,HV Battery,44411.8,7.06,2025-06-04,0
Ariya,HV Battery,48623.4,6.85,2025-02-23,0
Ariya,HV Battery,43589.3,6.54,2025-03-29,1
Ariya,HV Battery,48904.1,6.7,2025-02-22,0
Ariya,HV Battery,51454.4,6.78,2025-06-25,0
Ariya,HV Battery,46550.2,6.55,2025-06-12,0
Ariya,HV Battery,46415.4,6.6,2025-03-09,1
Ariya,HV Battery,47740.0,6.97,2025-05-10,1
Ariya,HV Battery,44295.5,6.21,2025-05-06,0
Ariya,HV Battery,41874.4,6.82,2025-03-06,0
Ariya,HV Battery,43563.8,5.93,2025-01-14,0
Ariya,HV Battery,47003.3,7.48,2025-01-24,1
Ariya,HV Battery,46093.5,6.93,2025-06-12,0
Ariya,HV Battery,46296.1,6.62,2025-04-19,0
Ariya,HV Battery,48226.3,6.55,2025-03-12,1
Ariya,HV Battery,46723.9,6.76,2025-01-12,0
Ariya,HV Battery,44567.3,6.98,2025-01-01,1
Ariya,HV Battery,45704.2,6.4,2025-03-27,0
Ariya,HV Battery,47344.4,6.35,2025-02-03,0
Ariya,HV Battery,46172.5,6.65,2025-06-13,0
Ariya,HV Battery,48610.9,6.81,2025-03-09,1
Ariya,HV Battery,46049.8,6.92,2025-02-11,1
Ariya,HV Battery,49312.4,6.84,2025-04-24,1
Ariya,HV Battery,46131.4,6.21,2025-05-22,0
Ariya,HV Battery,43652.0,6.55,2025-06-30,1
Ariya,HV Battery,44702.3,6.59,2025-04-20,0
Ariya,HV Battery,46238.1,6.83,2025-05-24,0
Ariya,HV Battery,45945.0,6.81,2025-01-03,1
Ariya,HV Battery,46256.1,5.99,2025-01-29,0
Ariya,HV Battery,43942.0,6.6,2025-01-20,0
Ariya,HV Battery,43318.7,6.85,2025-06-26,0
Ariya,HV Battery,49636.5,7.06,2025-02-08,0
Ariya,HV Battery,45615.4,7.15,2025-05-20,0
Ariya,HV Battery,46450.2,6.54,2025-01-10,1
Ariya,HV Battery,44693.4,6.55,2025-04-05,0
Ariya,HV Battery,45212.6,6.71,2025-05-30,1
Ariya,HV Battery,46477.7,6.65,2025-05-22,1
Ariya,HV Battery,47114.8,7.05,2025-02-07,0
Ariya,HV Battery,48296.6,6.16,2025-04-21,0
Ariya,HV Battery,40219.8,6.96,2025-02-02,0
Ariya,HV Battery,42956.3,6.58,2025-01-11,1
Ariya,HV Battery,43410.0,6.05,2025-03-20,0
Ariya,HV Battery,47355.8,6.9,2025-04-04,1
Ariya,HV Battery,44778.4,5.79,2025-01-11,0
Ariya,HV Battery,44848.2,6.78,2025-04-02,1
Ariya,HV Battery,42698.1,6.71,2025-02-23,0
Ariya,HV Battery,46072.2,6.84,2025-06-24,0
Ariya,HV Battery,46383.2,6.33,2025-03-05,1
Ariya,HV Battery,48866.0,6.6,2025-06-20,1
Ariya,HV Battery,46044.6,6.34,2025-01-27,0
Ariya,HV Battery,45085.6,6.36,2025-04-01,1
Ariya,HV Battery,45708.8,7.22,2025-05-24,0
Ariya,HV Battery,42944.8,6.11,2025-04-15,1
Ariya,HV Battery,49499.1,6.58,2025-06-08,1
Ariya,HV Battery,44565.0,7.0,2025-02-09,0
Ariya,HV Battery,44711.3,7.26,2025-03-02,0
Ariya,HV Battery,47670.4,6.49,2025-02-11,0
Ariya,HV Battery,51080.9,6.45,2025-02-15,1
Ariya,HV Battery,47818.3,6.75,2025-04-16,1
Ariya,HV Battery,49108.5,7.17,2025-01-07,0
Ariya,HV Battery,46181.3,6.4,2025-02-15,0
Ariya,HV Battery,47167.9,6.42,2025-03-27,1
Ariya,HV Battery,50749.1,6.7,2025-04-16,1
Ariya,HV Battery,45265.3,6.71,2025-06-21,1
Ariya,HV Battery,43001.9,6.33,2025-03-05,0
Ariya,HV Battery,48874.9,6.43,2025-03-10,0
Ariya,HV Battery,43694.0,6.83,2025-02-10,0
Ariya,HV Battery,48841.0,6.89,2025-06-29,1
Ariya,HV Battery,48403.8,6.4,2025-01-28,0
Ariya,HV Battery,42829.7,7.15,2025-04-08,1
Ariya,HV Battery,45363.6,6.57,2025-01-10,0
Ariya,HV Battery,49169.5,6.83,2025-05-01,1
Ariya,HV Battery,47158.5,7.37,2025-02-26,1
Ariya,HV Battery,44623.9,6.96,2025-02-21,1
Ariya,HV Battery,46238.9,6.74,2025-04-28,0
Ariya,HV Battery,49631.2,6.82,2025-03-31,0
Ariya,HV Battery,47348.5,7.01,2025-03-20,0
Ariya,HV Battery,45266.1,6.37,2025-02-28,1
Ariya,HV Battery,43698.8,6.0,2025-02-27,1
Ariya,HV Battery,50847.8,6.28,2025-01-07,1
Ariya,HV Battery,45597.4,6.56,2025-06-18,1
Ariya,HV Battery,46816.2,6.92,2025-02-19,1
Ariya,HV Battery,48091.2,6.46,2025-04-13,0
Ariya,HV Battery,45722.2,6.74,2025-03-26,1
Ariya,HV Battery,45534.2,7.18,2025-03-13,0
Ariya,HV Battery,47239.4,6.89,2025-01-18,0
Ariya,HV Battery,47635.7,7.04,2025-03-13,1
Ariya,HV Battery,46524.8,6.22,2025-03-31,0
Ariya,HV Battery,47028.9,6.43,2025-06-14,0
Ariya,HV Battery,44888.8,6.84,2025-05-11,1
